,x,y
Appling,31.74931017,-82.28900477
Atkinson,31.29714811,-82.88008865
Bacon,31.55366302,-82.45268959
Baker,31.32614555,-84.44470365
Baldwin,33.06894001,-83.24981611
Banks,34.35415639,-83.49738618
Barrow,33.9931854,-83.71275321
Bartow,34.23785345,-84.84049793
Ben Hill,31.75979396,-83.22050818
Berrien,31.27599198,-83.22964088
Bibb,32.80657542,-83.69773227
Bleckley,32.43444997,-83.32783724
Brantley,31.19687946,-81.98189036
Brooks,30.8419749,-83.58020861
Bryan,32.01460093,-81.44375308
Bulloch,32.39680441,-81.74318559
Burke,33.06107875,-82.00087178
Butts,33.28785292,-83.95716513
Calhoun,31.52920507,-84.62452601
Camden,30.9305273,-81.67032524
Candler,32.40345217,-82.07366177
Carroll,33.5828118,-85.07974823
Catoosa,34.90362346,-85.13825055
Charlton,30.78179015,-82.13783963
Chatham,32.00424018,-81.13250577
Chattahoochee,32.34707313,-84.78684673
Chattooga,34.47502545,-85.34531199
Cherokee,34.24394743,-84.47621125
Clarke,33.95117219,-83.36733742
Clay,31.62624342,-84.98005815
Clayton,33.54186697,-84.35768093
Clinch,30.91497667,-82.70624272
Cobb,33.94146362,-84.57666276
Coffee,31.54930776,-82.8491629
Colquitt,31.18837607,-83.7688273
Columbia,33.54421605,-82.26403613
Cook,31.15399888,-83.43046775
Coweta,33.35346375,-84.76338835
Crawford,32.71451105,-83.98632743
Crisp,31.92280678,-83.76808404
Dade,34.85455594,-85.50451933
Dawson,34.44429,-84.17059843
Decatur,30.8783353,-84.57904963
DeKalb,33.77151527,-84.22641732
Dodge,32.17219547,-83.16841537
Dooly,32.15717692,-83.79874137
Dougherty,31.53347237,-84.21637668
Douglas,33.70183924,-84.76791523
Early,31.32281655,-84.90363604
Echols,30.71005734,-82.89394062
Effingham,32.36740397,-81.34132684
Elbert,34.11678425,-82.84014135
Emanuel,32.5897475,-82.30169913
Evans,32.15675724,-81.8868924
Fannin,34.86411047,-84.31979128
Fayette,33.41394507,-84.49418371
Floyd,34.26318552,-85.21426623
Forsyth,34.22552468,-84.12502175
Franklin,34.37542135,-83.22920988
Fulton,33.79025868,-84.46700974
Gilmer,34.69126232,-84.45557802
Glascock,33.22927297,-82.6107034
Glynn,31.23067278,-81.53957806
Gordon,34.50335001,-84.87574505
Grady,30.87467244,-84.23443655
Greene,33.57880262,-83.16664673
Gwinnett,33.9617213,-84.02362157
Habersham,34.63104231,-83.53108997
Hall,34.31688995,-83.81967662
Hancock,33.27026452,-83.00098926
Haralson,33.79421612,-85.21102322
Harris,32.73626226,-84.90934791
Hart,34.35090386,-82.96416448
Heard,33.2969995,-85.12837516
Henry,33.45302153,-84.15420385
Houston,32.4590014,-83.66623859
Irwin,31.60222603,-83.27630959
Jackson,34.13388304,-83.56637001
Jasper,33.31641283,-83.6880534
Jeff Davis,31.80552783,-82.63700077
Jefferson,33.0548526,-82.41818365
Jenkins,32.79249019,-81.96353238
Johnson,32.7014865,-82.66010377
Jones,33.02513297,-83.56049761
Lamar,33.07651746,-84.13945616
Lanier,31.03785576,-83.06272058
Laurens,32.46364054,-82.92224498
Lee,31.7795662,-84.14110009
Liberty,31.82800173,-81.49461812
Lincoln,33.79364294,-82.45115787
Long,31.75255317,-81.74571349
Lowndes,30.83383014,-83.26772746
Lumpkin,34.57218317,-84.00267786
Macon,32.35840274,-84.04249201
Madison,34.1277906,-83.20904585
Marion,32.35338956,-84.52461988
McDuffie,33.48284378,-82.48135751
McIntosh,31.4951782,-81.40724375
Meriwether,33.04068339,-84.68831544
Miller,31.16401065,-84.73077385
Mitchell,31.22531841,-84.19431003
Monroe,33.01409323,-83.91868939
Montgomery,32.17342051,-82.53476586
Morgan,33.59080534,-83.4923697
Murray,34.78844088,-84.74809193
Muscogee,32.51005053,-84.87692831
Newton,33.55502857,-83.8501822
Oconee,33.83494343,-83.43708779
Oglethorpe,33.88066605,-83.08071712
Paulding,33.92054215,-84.86728629
Peach,32.56876784,-83.82687562
Pickens,34.46434532,-84.4656202
Pierce,31.35876024,-82.21274001
Pike,33.0922904,-84.38922844
Polk,34.00178292,-85.18815015
Pulaski,32.23226809,-83.47597249
Putnam,33.32175511,-83.37280547
Quitman,31.86734312,-85.0187526
Rabun,34.88167085,-83.40237515
Randolph,31.76266106,-84.7541543
Richmond,33.35981338,-82.07393128
Rockdale,33.65424209,-84.02658105
Schley,32.26159935,-84.31471605
Screven,32.75101899,-81.61184586
Seminole,30.9387751,-84.86883422
Spalding,33.26088039,-84.28408973
Stephens,34.55396786,-83.29319468
Stewart,32.07823919,-84.83501009
Sumter,32.0399457,-84.19702705
Talbot,32.69950521,-84.53301731
Taliaferro,33.56612305,-82.87875787
Tattnall,32.04579665,-82.05813031
Taylor,32.5554744,-84.25047553
Telfair,31.92980768,-82.93899804
Terrell,31.77698478,-84.43696425
Thomas,30.86375918,-83.91931925
Tift,31.45744568,-83.52658933
Toombs,32.12158592,-82.33120847
Towns,34.9166372,-83.73730187
Treutlen,32.40386831,-82.56727927
Troup,33.03350935,-85.02834434
Turner,31.71631349,-83.6240088
Twiggs,32.66721009,-83.4270853
Union,34.8340831,-83.9907781
Upson,32.88127665,-84.29935793
Walker,34.73566512,-85.30100388
Walton,33.78155671,-83.73385679
Ware,31.05378402,-82.42374197
Warren,33.40894514,-82.67674678
Washington,32.9695564,-82.79594151
Wayne,31.55146066,-81.9167384
Webster,32.04664176,-84.55105137
Wheeler,32.11705223,-82.72459295
White,34.64636546,-83.7471145
Whitfield,34.80561066,-84.96721658
Wilcox,31.97286203,-83.43233021
Wilkes,33.78194446,-82.7432091
Wilkinson,32.8023944,-83.17123822
Worth,31.55148719,-83.85087725
Cobb2,33.94146362,-84.57666276
Dekalb2,33.77151527,-84.22641732
Fulton2,33.79025868,-84.46700974
Gwinnett2,33.9617213,-84.02362157