,population,area(km)
Appling,18368,1318
Atkinson,8284,875
Bacon,11198,738
Baker,3366,888
Baldwin,46367,668
Banks,18316,606
Barrow,70169,420
Bartow,100661,1191
Ben Hill,17538,653
Berrien,19041,1171
Bibb,156462,647
Bleckley,12913,562
Brantley,18587,1150
Brooks,15403,1279
Bryan,32214,1145
Bulloch,72694,1769
Burke,23125,2152
Butts,23524,484
Calhoun,6504,725
Camden,51402,1632
Candler,11117,640
Carroll,111580,1292
Catoosa,65046,420
Charlton,13295,2023
Chatham,276434,1140
Chattahoochee,13037,645
Chattooga,25725,813
Cherokee,221315,1098
Clarke,120266,313
Clay,3116,505
Clayton,265888,370
Clinch,6718,2095
Cobb,353721,440.5
Coffee,43170,1551
Colquitt,46137,1430
Columbia,131627,751
Cook,16923,593
Coweta,130929,1147
Crawford,12600,842
Crisp,23606,710
Dade,16490,451
Dawson,22422,546
Decatur,27509,1546
DeKalb,353545,347
Dodge,21329,1298
Dooly,14318,1018
Dougherty,94501,855
Douglas,133971,515
Early,10594,1323
Echols,3988,1046
Effingham,53293,1243
Elbert,19684,956
Emanuel,22898,1777
Evans,10689,479
Fannin,23492,1000
Fayette,107524,510
Floyd,96177,1329
Forsyth,187928,585
Franklin,21894,681
Fulton,520712,685
Gilmer,28190,1106
Glascock,3142,373
Glynn,81022,1093
Gordon,55766,919
Grady,25440,1186
Greene,16092,1005
Gwinnett,421023,560.5
Habersham,43520,720
Hall,185416,1020
Hancock,8996,1225
Haralson,28400,730
Harris,32550,1202
Hart,25518,601
Heard,11633,767
Henry,209053,837
Houston,146136,976
Irwin,9600,925
Jackson,60571,886
Jasper,13630,958
Jeff Davis,15156,862
Jefferson,16432,1368
Jenkins,9213,906
Johnson,9897,787
Jones,28577,1020
Lamar,18057,479
Lanier,10400,484
Laurens,48041,2106
Lee,28746,922
Liberty,65471,1344
Lincoln,7737,546
Long,16048,1039
Lowndes,114552,1305
Lumpkin,30611,736
Macon,14263,1044
Madison,27922,736
Marion,8711,951
McDuffie,21663,673
McIntosh,13839,1124
Meriwether,21273,1303
Miller,5969,733
Mitchell,23144,1326
Monroe,26637,1026
Montgomery,8913,635
Morgan,17881,906
Murray,39392,891
Muscogee,198413,559
Newton,101505,715
Oconee,33619,482
Oglethorpe,14618,1142
Paulding,144800,813
Peach,27622,391
Pickens,29268,601
Pierce,18844,888
Pike,17810,565
Polk,41188,805
Pulaski,11720,640
Putnam,21198,891
Quitman,2404,394
Rabun,16297,961
Randolph,7327,1111
Richmond,202587,839
Rockdale,85820,339
Schley,4990,435
Screven,14202,1678
Seminole,8947,616
Spalding,63865,513
Stephens,25891,464
Stewart,6042,1189
Sumter,31554,1256
Talbot,6517,1018
Taliaferro,1680,505
Tattnall,25384,1254
Taylor,8420,979
Telfair,16349,1142
Terrell,9045,870
Thomas,44724,1419
Tift,41064,686
Toombs,2715,951
Towns,10495,430
Treutlen,6769,521
Troup,68468,1072
Turner,8410,741
Twiggs,8447,932
Union,21451,837
Upson,26630,844
Walker,68094,1155
Walton,84575,852
Ware,35821,2339
Warren,5578,741
Washington,20879,1761
Wayne,30305,1671
Webster,2793,544
Wheeler,7888,772
White,27556,627
Whitfield,103359,751
Wilcox,9068,984
Wilkes,10076,1220
Wilkinson,9577,1158
Worth,21741,1476
Cobb2,353721,440.5
Dekalb2,353544,347
Fulton2,520711,685
Gwinnett2,421023,560.5